Key,Context,Example,Source,de,es,fr,ja,ko,pt,zh-hans,zh-hant
HourBoost,,singular hour,Hour Boost,Stunden-Boost,Hour Boost,Boost d'une heure,,시간 부스트,Boost Horário,时间加速,一小時強化
,,,How are you enjoying Dungeon Life lately?,,¿Cómo estás disfrutando Dungeon Life últimamente?,,,,Needs translation,,
,,,How are you enjoying Dungeon Life so far?,,¿Cómo estás disfrutando de Dungeon Life hasta ahora?,,,,,,
Humanoids,,,Humanoids,Humanoide,Humanoids,Humanoïdes,ヒューマノイド,휴머노이드,Humanoides,人形怪物,人形生物
InviteToBeginnerServer,,,I see you are new to Dungeon Life! Would you like to switch to a beginner server?,Du scheinst neu zu sein bei Dungeon Life! Möchtest du zu einem Anfänger-Server wechseln?,I see you are new to Dungeon Life! Would you like to switch to a beginner server?,Tu débutes dans Dungeon Life! Veux-tu passer sur un serveur pour les débutants?,Dungeon Lifeは初めてかな？初心者用のサーバーに移動するかい？,Dungeon Life에 처음 오셨군요! 초보자 서버로 이동하시겠어요?,Vejo que você é novo em Dungeon Life! você gostaria de mudar para um servidor de iniciante?,看来你还是《Dungeon Life》世界的新手！你想要切换到新手服务器吗？,看來你才剛開始玩《Dungeon Life》！要切換到適合新手的伺服器嗎？
coldNoun3,,,Ice,Eis,Hielo,Glace,アイス,얼음,Gelo,冰,冰
coldAdjectiveFP2,,female plural,Icy,Eisige,Icy,glacées,氷のような,얼음의,Geladas,冰冷,冰凍
coldAdjectiveFS2,,female singular,Icy,Eisiger,Icy,glacé,,얼음의,Gelado,冰冷,冰凍
DaggersDualClean,,,Immaculate Daggers,Makellose Dolche,Immaculate Daggers,Dagues immaculées,便利なダガー,완벽한 단도,Adagas Imaculadas,毫无瑕疵的匕首,無瑕匕首
MaceClean,,,Immaculate Mace,Makelloser Streitkolben,Immaculate Mace,Masse immaculée,便利な催涙ガス,완벽한 철퇴,Maça Imaculada,毫无瑕疵的狼牙棒,無瑕鎚矛
fireNoun4,,,Inferno,Inferno,Inferno,Enfer,インフェルノ,지옥 불,Inferno,炼狱,地獄火
ChandelierIron,,,Iron Chandelier,Eisen-Kronleuchter,,Chandelier de fer,,철제 샹들리에,,铁制水晶灯,鐵製水晶燈
EquipTypejewelry,,,Jewelry,Schmuck,Jewelry,Bijou,宝石,보석,Joalheria,珠宝,首飾
Journeyer,,player rank,Journeyer,Reisender,Journeyer,Voyageur,旅人,여행자,Viajante,旅行者,旅人
,,,King Winter's Crypt,,,,,,,,
Knee Guard Leggings,,,Knee Guard Leggings,Knieschutz-Beinkleid,guarda de las rodillas,Genouillères,膝あて,무릎 보호 각반,Guarda de Joelhos Calças,护膝绑腿,護膝
Leather Hood,,,Leather Hood,Lederkapuze,Leather Hood,Capuchon en cuir,皮のフード,가죽 후드,Capuz de Couro,皮帽,皮革兜帽
Leather Legs,,,Leather Legs,Lederbeinkleid,Leather Legs,Jambières en cuir,皮のブーツ,가죽 하의,Pernas de Couro,皮质下装,皮革護腿
SkinTypeLeatherLegs,,,Leather Pants,Lederhose,Leather Pants,Pantalon en cuir,皮のパンツ,가죽 바지,Calça de Couro,皮质长裤,皮革褲子
SkinTypeLeatherTorso,,,Leather Shirt,Lederhemd,Leather Shirt,Chemise en cuir,皮のシャツ,가죽 상의,Camisa de Couro,皮质上装,皮革上衣
Leather Vest,,,Leather Vest,Lederweste,Leather Vest,Veste en cuir,皮のベスト,가죽 조끼,Vestimenta de Couro,皮质背心,皮革背心
Rarity5,,,Legendary,Legendär,Legendario,Légendaire,レジェンド,전설,Lendário,传奇,傳奇
,,,Legendary:,,,,,,,,
,CoreGui,"power level of character, monster, weapon, spell, etc",Level,Level,Nivel,Niveau,レベル,레벨,Nivel,等级,等級
LevelUp,,,Level up!,Stufenaufstieg!,Level up!,Niveau supérieur!,レベルアップしたよ！,레벨 업! ,Subiu de Nível! ,升级了！,升級了！
LevelUpHero,,,Level up! Use the hero button to improve your hero!,Stufenaufstieg! Verbessere deinen Helden mit dem Helden-Button!,,Niveau supérieur! Utilise le bouton Héros pour améliorer ton héros!,レベルアップしたよ！ヒーローボタンでヒーローを強化しよう！,레벨 업! 영웅을 향상하려면 영웅 버튼을 사용하세요!,Subiu de Nível! Use o botão de herói para aprimorar seu herói!,升级了！使用英雄按键来强化你的英雄！,升級了！按一下英雄按鈕來提升能力值！
,,,Level {1},Level {1},Nivel {1},"Niveau {1}
",レベル{1},레벨 {1},Nível {1},{1}级,等級 {1}
ToolNameFormat,,"In some languages adjectives come before tooltype, in others after.
 Level 2 Hale Leather Hood of Focus
 Level 6 Cold Bolt of Scorch
 Level 3 Cold Hawk Eye Longbow of Flame and Constitution
",Level {level:int} {adjective2} {adjective1} {tooltype} {suffix},Stufe {level:int} {adjective2} {adjective1} {tooltype} {suffix},Level {level:int} {adjective2} {adjective1} {tooltype} {suffix},{tooltype} {suffix} {adjective2} {adjective1} de niveau {level:int},{adjective2}{adjective1}{tooltype}{suffix}（レベル{level:int}）,레벨 {level:int} {adjective2} {adjective1} {tooltype} {suffix},Evelay {level:int} {tooltype} {adjective1} {adjective2} {suffix},{level:int}级{adjective2}{adjective1}{tooltype}{suffix},等級 {level:int} {adjective2}{adjective1}{tooltype}{suffix}
FullHeroDescription,,Level 5 Warrior,Level {level:int} {class},Stufe {level:int} {class},Level {level:int} {class},{class} de niveau {level:int},{class}（レベル{level:int}）,레벨 {level:int} {class},Nível {level:int} {class},{level:int}级{class},等級 {level:int} {class}
radiantNoun1,,,Light,Licht,Luz,Lumière,明り,경량,Leve,轻型,光
SkinTypeArmorLightTorso,,,Light Chest Armor,Leichte Brustrüstung,Light Chest Armor,Plastron léger,チェストアーマー（ライト）,경량 가슴 갑옷,Armadura de Peitoral Leve,轻型胸甲,輕型胸甲
Light Crossbow,,,Light Crossbow,Leichte Armbrust,Light Crossbow,Arbalète légère,クロスボウ（ライト）,경량 석궁,Besta Leve,轻型十字弓,輕型十字弓
SkinTypeArmorLightLegs,,,Light Leg Armor,Leichte Beinrüstung,Light Leg Armor,Jambière légère,レッグアーマー（ライト）,경량 다리 갑옷,Armadura de Perna Leve,轻型护腿,輕型腿甲
Lighting,,category of furniture includes torches and braziers and chandeliers,Lighting,Beleuchtung,Lighting,Lumières,明り,빛,Luzes,照明,照明
Long Bow,,,Long Bow,Langbogen,Long Bow,Arc long,ロングボウ,긴 활,Arco Longo,长弓,長弓
,,,Longbow,,,,,,,,
,,,Lord Winter's Palace,Lord Winters Palast,,Le palais du Lord Winter,,겨울 군주의 성,,寒冰霸主的宫殿,寒冰霸主的王宮
Lord Winter's Palace,,,Lord Winter's Palace,Lord Winters Palast,,Le palais de Lord Winter,,겨울 군주의 성,,寒冰领主的宫殿,寒冰霸主的王宮
,,,Lorem Ipsum,,,,,,,,
,,,Lvl{number1},,,,,,,,
Lvl,,Level for places without a lot of screen real estate: Lv27,Lv{1:int},St.{1:int},Lv{1:int},Niv.{1:int},Lv{1:int},{1:int}레벨,Lv{1:int},{1:int}级,Lv{1:int}
Mace,,,Mace,Streitkolben,Mace,Masse,催涙ガス,철퇴,Maça,狼牙棒,鎚矛
Mage,,,Mage,Magier,Mage,Mage,魔法使い,마법사,Mago,狼牙棒,法師
,,"mana, MP",Magic,Magisch,Magic,Magie,魔法,마법,Mágia,魔法,魔力
Magic Barrier,,,Magic Barrier,Magiebarriere,Magic Barrier,Barrière magique,マジックバリア,마법 장벽,Barreira Mágica,魔法屏障,魔力屏障
SkinTypeMagicBarrier,,,Magic Barrier,Magiebarriere,Magic Barrier,Barrière magique,,마법 장벽,Barreira Mágica,魔法屏障,魔力屏障
SkinTypeMagicBolt,,,Magic Bolt,Magieblitz,Magic Bolt,Éclair magique,マジックボルト,매직 볼트,Projétil Mágico,魔法冲击,魔力彈
ToolInfoManaCost,,Magic cost: 30,Magic cost: {1:int},Magiekosten: {1:int},Magic cost: {1:int},Coût en magie: {1:int},魔力コスト: {1:int},마력 소모: {1:int},Custo Mágico: {1:int},魔法消耗：{1:int},魔力花費：{1:int}
,,,Mana,,,,,,,,
Master,,player rank,Master,Meister,Master,Maître,マスター,마스터,Mestre,宗师,大師
SkinTypeMaul,,,Maul,Hammer,mazo,Mutilation,傷,철퇴,Maltrato,摩尔,大鎚
Mausoleum,,,Mausoleum,Mausoleum,,Mausolée,,묘지,,崩塌陵墓,陵墓
Miasma,,,Miasma,Miasma,Miasma,Miasme,不気味な霧,독기,Fedor,瘴气,毒氣
MonsterDeaths,,,Monster Deaths,Monstertode,Monster Deaths,Morts de monstres,モンスター... ゲームオーバー！,몬스터 사망,Mortes do Monstro,怪物阵亡数,怪物死亡次數
MonsterKills,,,Monster Kills,Monster-Kills,Monster Kills,Victimes monstres,倒したモンスター,잡은 몬스터,Abates do Monstro,怪物杀敌数,怪物擊殺數
,,heading above a list of weapon and armor skins you can apply to your monster - they're not skins for the monster itself,Monster Skins,Monster-Skins,Monster Skins,Skins de monstre,モンスターのスキン,몬스터 스킨,Aparências de Monstro,怪物皮肤,怪物外觀
,,,Monsters,,,,,,,,
TutorialOnMonsters,,,"Monsters start weaker than heroes, but monsters keep coming back and keep getting stronger.",Monsters sind zu Beginn schwächer als Helden. Dafür kehren sie immer wieder und werden stärker.,"Monsters start weaker than heroes, but monsters keep coming back and keep getting stronger.","Les monstres sont plus faibles que les héros au départ, mais ils reviennent à chaque fois de plus en plus forts.",モンスターは最初、ヒーローより弱い。だけど何度も戦うことで、だんだん強くなっていくんだ。,"몬스터는 처음에는 영웅보다 약하지만, 계속해서 돌아오며 점점 더 강해집니다.","Monstros começam mais fracos que Heróis, mas monstros continuam a voltar e continuam a se tornar fortes",怪物刚出现时要弱于英雄，但是随着一波接一波的涌现，他们会变得越来越强,一開始怪物會比英雄弱，但怪物可以不斷復活，並且變得越來越強大。
,,for music on/off button,Music,Musik,Música,Musique,音楽,음악,Música,音乐,音樂
willAdjectiveFP3,,female plural,Mystic,Mystische,Místico,mystiques,神秘的な,신비한,Místicas,神秘,神秘
willAdjectiveFS3,,female singular,Mystic,Mystischer,Místico,mystique,,신비한,Místico,神秘,神秘
,,header of player names in the custom player list,Names,Namen,Names,Noms,名前,이름,Nomes,名字,名稱
Necro Barrier,,,Necro Barrier,Nekro-Barriere,,Barrière nécro,,죽음의 장벽,,死灵屏障,死靈屏障
Necro Bolt,,,Necro Bolt,Nekro-Bolzen,,Boulon nécro,,죽음의 볼트,,死灵能量波,死靈能量波
Necromancer,,,Necromancer,Nekromant,,Nécromancien,,주술사,,死灵法师,死靈法師
SpawnNecromancer,,,Necromancer Portal,Nekromanter-Portal,,Portail Nécromancien,,주술사 포탈,,死灵法师传送门,死靈法師傳送門
NewLevels,,How many times you've gone down a floor,New Floors,Neue Ebenen,New Floors,Nouveaux étages,新しいフロア,새로운 층,Novos Andares,新的地层,新關卡
,,,No,Keine,No,Non,いいえ,아니요,Não,否,否
AxeBronze,,,Northland Axe,Nordlandaxt,Northland Axe,Hache nordique,北国のオノ,노스랜드 도끼,Machado Northland,北境之斧,北國斧
HammerBlue,,,Northland Hammer,Nordlandhammer,martillo  Northland,Marteau nordique,北国のハンマー,노스랜드 망치,Martelo Northland,北境之锤,北國鐵鎚
OutOfMana,,,Not Enough Magic,Nicht genug Magie,Not Enough Magic,Magie insuffisante,魔力が足りない！,마력 부족,Sem Mágia o Suficiente,魔力不足,魔力不足
NotEnoughDP,,,Not enough Dungeon Points,Nicht genug Dungeon-Punkte,Not enough Dungeon Points,Points de donjon insuffisants,ダンジョンポイントが足りません,던전 포인트가 부족합니다,Sem Pontos de Dungeon o Suficiente,地下城积分不足,地城點數不足
NotEnoughGold,,,Not enough gold,Nicht genug Gold,,Pas assez d'or,,금이 모자람,Seom Ouro Suficiente,金币不足,黃金不足
NotEnoughMoney,,,Not enough money,Nicht genug Geld,No tienes suficiente Money,Argent insuffisant,お金が足りません,돈이 부족합니다,Sem dinheiro o Suficiente,金钱不足,金錢不足
Novice,,player rank,Novice,Neuling,Novice,Novice,初心者,초보자,Novato,初学者,新手
FurnishingsNumberLeft,,Number left: 3,Number left: {1:int},Verbl. Anzahl: {1:int},Number left: {1:int},Nombre restant: {1:int},残り: {1:int},남은 수: {1:int},Número faltando: {1:int},剩余数量：{1:int},剩餘數量：{1:int}
,,ok button,OK,OK,OK,OK,OK,확인,OK,好的,好
Obsidian Halls,,,Obsidian Halls,Obsidianhallen,,Couloirs d'obsidienne,,흑요석 홀,,黑曜石殿堂,黑曜石殿堂
willAdjectiveFP1,,female plural,Occult,Okkulter,Occult,occulte,,주술적인,Oculto,诡秘,奧祕
willAdjectiveFS1,,female singular,Occult,Okkulte,Occult,occulte,オカルト,주술적인,Oculta,诡秘,奧祕
strNoun3,,,Ogre Strength,Ogerstärke,Ogre Strength,Force d'ogre,オーガのちから,오거 체력,Força de Ogro,食人魔之力,食人魔之力
SkinTypeAxe1H,,,One Handed Axe,Einhandaxt,One Handed Axe,Hache à une main,片手オノ,한손 도끼,Machado de Uma Mão,单手斧,單手斧
SkinTypeSword1H,,,One Handed Sword,Einhandschwert,One Handed Sword,Épée à une main,片手剣,한손 검,Espada de Uma Mão,单手剑,單手劍
TipMonsterChests,,,Only heroes can open chests.,Nur Helden können Truhen öffnen.,,Seuls les héros peuvent ouvrir les coffres.,,영웅만 보물 상자를 열 수 있어요.,,,只有英雄可以開啟寶箱。
explosiveNoun3,,,Oof,Uff,Oof,Oooh!,ノックアウト,으앗,Oof,噢,轟鳴
FenceDescription,,,"Opens for monsters but not for heroes

Can shoot through it but not walk through it","Öffnet sich für Monster, nicht aber für Helden

Man kann hindurchschießen, aber nicht hindurchgehen","Opens for monsters but not for heroes

Can shoot through it but not walk through it","S'ouvre pour les monstres, mais pas pour les héros.

Ces derniers peuvent tirer à travers, mais pas la franchir.","モンスター専用の出入り口。ヒーローの時は開かないよ。

（弓矢など、隙間から攻撃することはできるけど、すり抜けて進むことはできません）","몬스터에게는 열리지만, 영웅에겐 아닙니다

공격할 수 있지만 지나갈 수 없습니다","Abre para Monstros mas não para Heróis

Pode-se atirar através mas não andar através","只对怪物开放，英雄止步

可以对内进行射击但本人无法通过","只有怪物接近時才會開啟，不會對英雄開啟

遠程攻擊可穿過柵欄，但角色無法穿越"
Orc,,,Orc,Ork,Orc,Orque,オーク,오크,Orc,兽人,半獸人
SwordOrcBlade,,,Orc Blade,Orkklinge,,Lame d'orc,,오크 검,,,半獸人大劍
SpawnOrc,,,Orc Tent,Orkzelt,Orc Tent,Tente d'orque,オークのテント,오크 천막,Barraca de Orc,兽人营帐,半獸人帳篷
,,,Out Of Boost,Kein Boost mehr,Out Of Boost,Boost à sec,ブースト切れ,부스트 없음,Boost Esgotado,强化效果已结束,強化已用盡
,,,Out of health potions,Lebenstränke alle,Out of health potions,Potions de santé à sec,HPポーション切れ,체력 물약 없음,Poções de Saúde esgotadas,生命药水已耗尽,生命值藥水已用盡
,,,Out of magic potions,Zaubertränke alle,Out of magic potions,Potions magiques à sec,魔力ポーション切れ,마력 물약 없음,Poções Mágicas Esgotadas,魔法药水已耗尽,魔力已用盡
OutOfGearSlots,,,"Out of space for gear!
Throw away items to make more space","Kein Platz für Ausrüstung mehr!
Schaffe welchen, indem du Items wegwirfst","Out of space for gear!
Throw away items to make more space","Espace insuffisant pour l'équipement!
Jette des objets pour faire de la place.","ギアを入れるスペースが無くなりました！
アイテムを整理して、スペースを空けよう","장비를 둘 공간이 없어요!
공간을 획득하려면 아이템을 버리세요","Sem espaço para Equipamentos!
Jogue fora alguns itens para liberar espaço","没有多余的空间存放装备！
扔掉任意物品以腾出空间","沒有裝備空間了！
請丟棄物品以騰出空間"
strAdjectiveFP3,,female plural,Ox,Ochsenhafte,Ox,de bœuf,オックスの,황소,Boi,公牛,猛牛
strAdjectiveFS3,,female singular,Ox,Ochsenhafter,Ox,de bœuf,,황소,Boi,公牛,猛牛
Pedestal,,,Pedestal,Podest,Pedestal,Piédestal,台座,받침대,Pedestal,底座,臺座
Permaboost,,permanent or infinite boost,Permaboost,Dauerboost,Permaboost,Boost permanent,無限ブースト,영속 부스트,Boost Permanente,永久强化,永久強化
FurnishingPersonalMax,,Personal Pit Trap maximum already built,Personal {1} maximum already built,Persönliches „{1}“-Maximum bereits gebaut,Personal {1} maximum already built,Limite personnelle maximum de {1} déjà construite,1人でビルドできる{1}の限界を越えました,개인 제작 한도 {1} 도달,Máximo {1} Pessoal já Construído,个人{1}建造数已达上限,已達個人{1}建造上限
willAdjectiveFP4,,female plural,Philosopher's,Philosophische,Philosopher's,de philosophe,哲学者の,철학자의,Filósofo,贤者,賢者
willAdjectiveFS4,,female singular,Philosopher's,Philosophischer,Philosopher's,de philosophe,,철학자의,Filósofo,贤者,賢者
LightPhoenixgardeLegs,,,Phoenixgarde Legs,Phoenixgarde-Beinkleid,Phoenixgarde Legs,Jambières garde phénix,フェニックスガード（足）,피닉스가르드 하의,Phoenixgarde Pernas,凤凰守卫下装,鳳凰先鋒護腿
LightPhoenixgardeTorso,,,Phoenixgarde Torso,Phoenixgarde-Torso,Phoenixgarde Torso,Plastron garde phénix,フェニックスガード（体）,피닉스가르드 토르소,Phoenixgarde Tronco,凤凰守卫躯干,鳳凰先鋒上半身
PitTrap,,,Pit Trap,Fallgrube,Pit Trap,Fosse,落とし穴,구덩이 함정,Armadilha de Cova,陷阱,坑洞陷阱
StoreInfoVIP,,,Place statues of your own avatar in the dungeon! VIP label on player list! Thanks for supporting Dungeon Life!,"Platziere Statuen deines Avatars im Dungeon! VIP-Zeichen in der Spielerliste! Danke, dass du Dungeon Life unterstützt!",Pon estatuas de su propio avatar en la mazmorra! Etiqueta de VIP en la lista de personas! Gracias por ayudar a Dungeon Life!,Place des statues de ton avatar dans le donjon! Balise VIP dans la liste des joueurs! Merci de soutenir Dungeon Life!,自分のアバター像を、ダンジョンに設置しよう！VIPラベルがプレイヤーリストにのるよ！Dungeon Lifeをプレイしてくれてありがとう！,던전에 내 아바타 동상을 세우고 플레이어 목록에 VIP 표시를 달아보세요! Dungeon Life를 지원해주셔서 감사합니다!,Coloque estatuas de seu próprio avatar no calabouço! Selo de VIP na lista de jogador! Obrigado por suportar Dungeon Life!,在地下城中放置个人的头像雕塑！在玩家列表上为自己挂上VIP标签！感谢你对于《Dungeon Life》的支持！,在地城裡放置你虛擬人偶的雕像！玩家名單中也會顯示 VIP 標籤！感謝你支持《Dungeon Life》！
,,,Places,,,,,,,,
Plate Helmet,,,Plate Helmet,Panzerhelm,Plate Helmet,Casque de plaques,プレートのヘルメット,판금 투구,Capacete de Placa,板甲头盔,板甲頭盔
Plate Mail Leggings,,,Plate Mail Leggings,Ringpanzerbeinkleid,Plate Mail Leggings,Jambières de plates,プレートメイルの足,판금 갑옷 각반,Pernas de Cota de Malha de Placa,板甲下装,板甲護腿
Plate Mail Shirt,,,Plate Mail Shirt,Ringpanzerhemd,Plate Mail Shirt,Haut de plates,プレートメイルの体,판금 갑옷 상의,Camisa de Cota de Malha de Placa,板甲上装,板甲上衣
ClassLockedSingular,,Player hero once more to unlock rogue,Play hero once more to unlock {2},,Juega héroe una vez más para desbloquear {1},,,,,,
ClassLockedPlural,,Play hero 3 more times to unlock priest,Play hero {1:int} more times to unlock {2},,Juega héroe {1:int} veces más para desbloquear {2},,,,,,
EquipTypepotion,,,Potion,Trank,Potion,Potion,ポーション,물약,Poção,药水,藥水
EquipTypepower,,,Power,Macht,Power,Puissance,パワー,힘,Poder,力量,力量
dexAdjectiveFP1,,female plural,Precise,Präzise,Precise,précises,精密な,신중한,Preciso,精准,精準
dexAdjectiveFS1,,female singular,Precise,Präziser,Precise,précis,,신중한,Preciso,精准,精準
dexNoun1,,,Precision,Präzision,Precision,Précision,精密さ,신중함,Precisão,精准度,精準
Premium,,,Premium,Premium,Prima,Premium,プレミアム,프리미엄,Prêmio,高级,高級物品
,PlayerGui.TopGui.GameStateLabel,Preparation 60,Preparation {1},Vorbereitung {1},Preparation {1},Préparation {1},準備してね...{1},준비 {1},Preparação {1},准备{1},準備倒數 {1}
Priest,,,Priest,Priester,Priest,Prêtre,プリースト,사제,Sacerdote,祭司,祭司
,,,PrintMoney,,,,,,,,
DoorDescription,,,Provides some privacy but anyone can go through,"Bietet eine Privatsphäre, aber jeder kann durchgehen",,Donne un peu d'intimité mais tout le monde peut entrer,,독립된 공간을 만들어 주지만 누구든 드나들 수 있음,"Providencia alguma privacidade, mas qualquer um pode atravessar-la",提供一部分隐私，不过别人还是可以通过,提供一點隱私，不過其他人可以自由進出
BombPumpkin,,,Pumpkin Bomb,Kürbisbombe,Pumpkin Bomb,Bombe citrouille,,호박 폭탄,Bomba de Abóbora,南瓜炸弹,南瓜炸彈
,,,Put away tool to open,Leg das Werkzeug beiseite zum Öffnen,Put away tool to open,Enlève l'outil pour ouvrir,道具を片付けてから、開けよう,도구를 치우고 열기,Guarde sua arma para abrir,放开工具以打开,收起工具以開啟
explosiveNoun4,,,Quake,Beben,Quake,Séisme,大揺れ,지진,Terremoto,地震,波動
CyclopsSuper,,,Queen Cyclops,Zyklopenkönigin,Queen Cyclops,Reine des cyclopes,サイクロプスクイーン,외눈박이 여왕,Rainha Ciclope,独眼巨人皇后,獨眼巨人女王
SpawnCyclopsSuper,,,Queen Cyclops Prison,Zyklopenkönigingefängnis,Queen Cyclops Prison,Prison de la reine des cyclopes,サイクロプスクイーンの牢屋,외눈박이 여왕 감옥,Prisão de Rainha Ciclope,独眼巨人皇后的监狱,獨眼巨人女王牢籠
,,,Quests,,,,,,,,
,,,R:,,,,,,,,
radiantNoun2,,,Radiance,Leuchten,Radiance,Éclat,光,광채,Radiância,辐射,光輝
radiantAdjectiveFP2,,female plural,Radiant,Leuchtende,Radiant,rayonnantes,光の,광채의,Radiantes,辐射,燦爛
radiantAdjectiveFS2,,female singular,Radiant,Leuchtender,Radiant,rayonnant,,광채의,Radiante,辐射,燦爛
ToolInfoRange,,Range: 7,Range: {1:int},Reichweite: {1:int},Range: {1:int},Portée: {1:int},距離: {1:int},범위: {1:int},Alcance: {1:int},范围：{1:int},射程：{1:int}
EquipTyperanged,,as in 'ranged attack',Ranged,Fern,Ranged,À distance,遠隔,범위,a Distância,远程,遠程
,,,Ranged Damage,Fernschaden,Ranged Damage,Dégâts à distance,遠隔ダメージ,범위 공격력,Dano a Distância,远程伤害,遠程殺傷力
,,,Ranged Defense,Fernverteidigung,Ranged Defense,Défense à distance,遠隔防御力,범위 방어,Defesa a Distância,远程防御,遠程防禦力
,PlayerGui.PlayerListGui.CustomLeaderboard.Contents.User128450567.Rank,"player's rank in game, how long they've been playing",Rank,Rang,Rank,Rang,ランク,랭크,Rank,段位,位階
Rarity3,,,Rare,Selten,Raro,Rare,レア,희귀,Raro,稀有,稀有
,,"done setting up character, ready to play",Ready!,Bereit!,¡Listo!,Prêt!,よーい！,준비!,Preparado!,准备好！,就緒！
,,,Recommended,Empfohlen,Recomendado,Conseillé,おすすめ,추천 아이템,Recomendado,推荐,建議
,,,Recommended for new players. Is tough and likes to fight up close.,,,,,,,,
WarriorDescription,,,Recommended for new players. Tough and usually fights up close,Empfehlung für neue Spieler. Zäh und üblicherweise stark im Nahkampf,Recommended for new players. Tough and usually fights up close,Recommandé pour les nouveaux joueurs. Costaud et se bat en général au corps à corps.,初心者におすすめ。丈夫で、直接攻撃が得意なキャラ。,초보 플레이어에게 추천합니다. 강인하며 주로 근접 전투를 합니다,Recomendado para novos jogadores. Resistente e usualmente luta a curta distância,皮糙肉厚，擅长近战，推荐新手玩家使用,適合新玩家使用，體質強壯，習慣近身戰鬥
,,,Recommended for this dungeon,,,,,,,,
HeavyRedcliffLegs,,,Redcliff Elite Legs,Rotklippe-Elite-Beinkleid,Redcliff Elite Legs,Jambières d'élite rouges,レッドクリフエリート（足）,레드클리프 엘리트 하의,Pernas Elite de Redcliff,赤壁精英下装,赤紅菁英護腿
HeavyRedcliffTorso,,,Redcliff Elite Torso,Rotklippe-Elite-Torso,Redcliff Elite Torso,Plastron d'élite rouge,レッドクリフエリート（体）,레드클리프 엘리트 토르소,Tronco Elite de Redcliff,赤壁精英躯干,赤紅菁英上半身
,,,Required Level:,,,,,,,,
ToolRequires,,Requires Level 5 or Arcane 14,Requires Level {level:int} or {statname} {statreq:int},Erfordert Stufe {level:int} oder {statname} {statreq:int},Requires Level {level:int} or {statname} {statreq:int},Requiert le niveau {level:int} ou {statname} {statreq:int},レベル{level:int}、または{statname}{statreq:int}が必要です,레벨 {level:int} 또는 {statname} {statreq:int} 필요,Precisa de Nível {level:int} ou {statname} {statreq:int},等级需要达到{level:int}级或{statname}{statreq:int},需要等級 {level:int} 或{statname} {statreq:int}
,,,ResetInventory,,,,,,,,
Restore Potion,,,Restore Potion,Trank wiederherstellen,Restore Potion,Potion de restauration,ポーションを回復,물약 회복,Poção de Restauração,恢复药水,恢復藥水
ManaDescription,,Restores 30 magic,Restores {1:int} magic,Stellt {1:int} Magie wieder her,Restores {1:int} magic,Restaure {1:int} magie,魔力を{1:int}回復,마력 {1:int} 회복,Restaura {1:int} Mágia,恢复{1:int}魔法值,恢復 {1:int} 魔力
,,,RevealMap,,,,,,,,
Reward For Completing Monster Tutorial,,,Reward For Completing Monster Tutorial,Belohnung für Abschluss von Monster-Tutorial,Reward For Completing Monster Tutorial,Récompense pour avoir fini le didacticiel Monstre,モンスターのチュートリアルを完了したご褒美,몬스터 튜토리얼 완료 보상,Prêmio por Completar o Tutorial de Monstro,完成怪物教程的奖励,完成怪物教學的獎勵
Reward For Winter King Defeated,,,Reward For Demon Lord Winter Defeated,Belohnung für den Sieg über den Dämonenlord von Winter,,Récompense pour avoir vaincu le démon Lord Winter,,겨울 군주 데몬 승리 보상,,,擊敗寒冰霸主的獎勵
Reward for Completing Monster Tutorial,,,Reward for Completing Monster Tutorial,Belohnung für Abschluss von Monster-Tutorial,Reward for Completing Monster Tutorial,Récompense pour avoir fini le didacticiel Monstre,モンスターのチュートリアルを完了したご褒美,몬스터 튜토리얼 완료 보상,Prêmio por Completar o Tutorial de Monstro,完成怪物教程的奖励,完成怪物教學的獎勵
Reward for Cyclops Queen Defeated,,,Reward for Cyclops Queen Defeated,Belohnung für Besiegen der Zyklopenkönigin,Reward for Cyclops Queen Defeated,Récompense pour avoir vaincu la reine des cyclopes,サイクロプスクイーンを倒したご褒美,외눈박이 여왕 승리 보상,Prêmio por derrptar a Rainha Ciclope,击败独眼巨人皇后的奖励,擊敗獨眼巨人女王的獎勵
Reward for Fifty Heroic Deaths,,,Reward for Fifty Heroic Deaths,Belohnung für 50 Heldentode,Reward for Fifty Heroic Deaths,Récompense pour 50 morts de héros,ヒーローとして50回ゲームオーバーした記念,50번째 영웅 사망 보상,Prêmio por Cinquenta Mortes Heróicas,壮烈牺牲次数达到50次的奖励,英雄死亡 50 次獎勵
Reward for Fifty Monster Deaths,,,Reward for Fifty Monster Deaths,Belohnung für 50 Monstertode,Reward for Fifty Monster Deaths,Récompense pour 50 morts de monstres,モンスターとして50回ゲームオーバーした記念,50번째 몬스터 사망 보상,Prêmio por Cinquenta Mortes de Monstro,怪物死亡次数达到50次的奖励,怪物死亡 50 次獎勵
Reward for First Heroic Death,,,Reward for First Heroic Death,Belohnung für ersten Heldentod,Reward for First Heroic Death,Récompense pour 1re mort de héros,ヒーローとして初めてゲームオーバーした記念,첫 영웅 사망 보상,Prêmio pela Primeira Morte Heróica,首次壮烈牺牲的奖励,英雄首次死亡獎勵
Reward for First Monster Death,,,Reward for First Monster Death,Belohnung für ersten Monstertod,Reward for First Monster Death,Récompense pour 1re mort de monstre,モンスターとして初めてゲームオーバーした記念,첫 몬스터 사망 보상,Prêmio pela Primeira Morte de Monstro,首次怪物死亡的奖励,怪物首次死亡獎勵
